,feat_sel_type,num_features,fold,metric,score
339,cell_ranger,5000,1,accuracy,0.955309836443216
340,random_all_genes,20,1,accuracy,0.6583736466252016
341,random_all_genes,50,1,accuracy,0.6917760884588804
342,random_all_genes,100,1,accuracy,0.7519004837595025
343,random_all_genes,200,1,accuracy,0.8343699608385164
344,random_all_genes,300,1,accuracy,0.8956461644782309
345,random_all_genes,400,1,accuracy,0.8981801428242341
346,random_all_genes,500,1,accuracy,0.9004837595024188
347,random_all_genes,1000,1,accuracy,0.903017737848422
348,random_all_genes,2000,1,accuracy,0.9246717346233588
349,random_all_genes,5000,1,accuracy,0.9297396913153652
350,seurat_v3,20,2,accuracy,0.9154275092936804
351,seurat_v3,50,2,accuracy,0.9172862453531598
352,seurat_v3,100,2,accuracy,0.9154275092936804
353,seurat_v3,200,2,accuracy,0.9228624535315983
354,seurat_v3,300,2,accuracy,0.9312267657992565
355,seurat_v3,400,2,accuracy,0.9302973977695168
356,seurat_v3,500,2,accuracy,0.9423791821561338
357,seurat_v3,1000,2,accuracy,0.9460966542750928
358,seurat_v3,2000,2,accuracy,0.9535315985130112
359,seurat_v3,5000,2,accuracy,0.9553903345724908
360,pearson_residuals,20,2,accuracy,0.9024163568773236
361,pearson_residuals,50,2,accuracy,0.9219330855018588
362,pearson_residuals,100,2,accuracy,0.9433085501858736
363,pearson_residuals,200,2,accuracy,0.9377323420074348
364,pearson_residuals,300,2,accuracy,0.9470260223048328
365,pearson_residuals,400,2,accuracy,0.9451672862453532
366,pearson_residuals,500,2,accuracy,0.9479553903345724
367,pearson_residuals,1000,2,accuracy,0.9479553903345724
368,pearson_residuals,2000,2,accuracy,0.9460966542750928
369,pearson_residuals,5000,2,accuracy,0.9488847583643124
370,seurat,20,2,accuracy,0.9154275092936804
371,seurat,50,2,accuracy,0.9154275092936804
372,seurat,100,2,accuracy,0.921003717472119
373,seurat,200,2,accuracy,0.9070631970260224
374,seurat,300,2,accuracy,0.9191449814126396
375,seurat,400,2,accuracy,0.9256505576208178
376,seurat,500,2,accuracy,0.9321561338289964
377,seurat,1000,2,accuracy,0.9526022304832714
378,seurat,2000,2,accuracy,0.9460966542750928
379,seurat,5000,2,accuracy,0.949814126394052
380,cell_ranger,20,2,accuracy,0.9154275092936804
381,cell_ranger,50,2,accuracy,0.9154275092936804
382,cell_ranger,100,2,accuracy,0.9200743494423792
383,cell_ranger,200,2,accuracy,0.9237918215613384
384,cell_ranger,300,2,accuracy,0.9256505576208178
385,cell_ranger,400,2,accuracy,0.933085501858736
386,cell_ranger,500,2,accuracy,0.9312267657992565
387,cell_ranger,1000,2,accuracy,0.941449814126394
388,cell_ranger,2000,2,accuracy,0.9470260223048328
389,cell_ranger,5000,2,accuracy,0.9470260223048328
390,random_all_genes,20,2,accuracy,0.9005576208178439
391,random_all_genes,50,2,accuracy,0.904275092936803
392,random_all_genes,100,2,accuracy,0.9200743494423792
393,random_all_genes,200,2,accuracy,0.9219330855018588
394,random_all_genes,300,2,accuracy,0.9265799256505576
395,random_all_genes,400,2,accuracy,0.9284386617100372
396,random_all_genes,500,2,accuracy,0.9284386617100372
397,random_all_genes,1000,2,accuracy,0.933085501858736
398,random_all_genes,2000,2,accuracy,0.9423791821561338
399,random_all_genes,5000,2,accuracy,0.9358736059479554
400,seurat_v3,20,3,accuracy,0.8851238608651008
401,seurat_v3,50,3,accuracy,0.9040559620074444
402,seurat_v3,100,3,accuracy,0.7869336413810807
403,seurat_v3,200,3,accuracy,0.8810807341804646
404,seurat_v3,300,3,accuracy,0.9319727891156464
405,seurat_v3,400,3,accuracy,0.9454498780644334
406,seurat_v3,500,3,accuracy,0.9490437684507764
407,seurat_v3,1000,3,accuracy,0.962777563855731
408,seurat_v3,2000,3,accuracy,0.96483121550507
409,seurat_v3,5000,3,accuracy,0.9687459889616225
410,pearson_residuals,20,3,accuracy,0.928378898729303
411,pearson_residuals,50,3,accuracy,0.9488512386086512
412,pearson_residuals,100,3,accuracy,0.9600821460659736
413,pearson_residuals,200,3,accuracy,0.9626492106276472
414,pearson_residuals,300,3,accuracy,0.9654088050314464
415,pearson_residuals,400,3,accuracy,0.9674624566807856
