Cell	UMAP_1	UMAP_2	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Cluster	Sample	Patient	Source	Stage
P1_Tumor_1395	4.47833081102263	10.6330025248079	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1404	4.42627998208891	10.3209984354525	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1405	4.4761054120053	11.0083496622591	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1411	4.45504160737883	10.6981756739168	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1426	4.31820388650786	10.2666246943026	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1435	4.14937158441435	10.9728148035555	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1445	4.04883547639739	10.2837784342318	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1449	4.40848203515898	10.6694405130892	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1451	4.11651345109831	11.0781910471468	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1468	4.45205565309416	10.6559412531405	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1469	-8.97391585493196	2.75107908768941	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1470	4.45607801294219	10.5501616053133	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1472	4.23425455903899	10.2543041758089	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1493	4.23574825143706	10.0402176432161	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1496	-9.06626395368684	2.57180643601704	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1503	-8.1907556452762	3.86634707970906	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1524	4.45154209947478	10.5523273996859	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1531	4.04355259752165	10.0124085001497	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1544	3.89629383897673	10.2158043436556	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1547	4.02324338769805	9.95144391579915	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1575	4.24486919259917	10.7208273462801	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1577	4.12824126100432	10.2489254526644	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1587	3.87035604333769	9.98783326669026	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1589	4.10975690698515	10.6990158609896	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1591	3.87008400773894	10.2583468012362	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1594	-8.85637549543489	2.59657884164143	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1596	4.13122340059172	10.9563295893221	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1602	4.49964352464568	10.4586184076815	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1609	4.32736869668852	10.2013895563631	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1616	3.91877480363738	10.2107832483797	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1617	4.20823498582732	10.9104969553499	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1629	-7.66008738660921	2.06755996270467	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1635	-8.3297241129886	2.30535984559346	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1642	4.20231958246123	10.5626699976473	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1644	-13.8591583170902	-6.48146652655315	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1652	4.33809371805083	10.583098655179	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1654	4.25697584962737	10.4480679087191	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1679	4.31423278665434	10.58938909097	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1707	4.23597880220305	10.9848721079378	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1734	4.01798387384306	9.95696759743977	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1763	4.24551626062285	10.1316807322054	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1764	4.43925329065215	10.3090498499422	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1785	4.072656115054	9.96719098611165	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1786	4.2731070122708	10.7464802317171	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1787	4.14780636644255	10.0559866480379	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1791	4.00355478143584	9.86991715951253	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Normal_22	3.87820573663603	10.6218617014437	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_54	4.03760929918181	10.1997854761629	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_212	3.84414287423979	10.269115691617	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_372	3.95429797983061	10.4198629908114	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_386	3.76178308343779	10.4353401712923	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_402	3.7462777695645	10.4528582148104	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_437	4.10061450815093	10.7520935587435	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_555	4.2954184613217	10.5799839548616	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
P1_Normal_599	4.17127462243926	10.9031422190218	Immune cells	B	B	13	P1_Normal	P1	NAT	Primary
